Provider_classification_type,Provider_classification_code,NPI_Required
1,261QS1000X,YES
1,261QS1200X,YES
1,261QU0200X,YES
1,261QV0200X,YES
1,261QX0100X,YES
1,261QX0200X,YES
1,261QX0203X,YES
1,273100000X,YES
1,273R00000X,YES
1,273Y00000X,YES
1,275N00000X,YES
1,276400000X,YES
1,281P00000X,YES
1,281PC2000X,YES
1,282E00000X,YES
1,282J00000X,YES
1,282N00000X,YES
1,282NC0060X,YES
1,282NC2000X,YES
1,282NR1301X,YES
1,282NW0100X,YES
1,283Q00000X,YES
1,283X00000X,YES
1,283XC2000X,YES
1,284300000X,YES
1,286500000X,YES
1,2865C1500X,YES
1,2865M2000X,YES
1,2865X1600X,YES
1,287300000X,YES
1,291900000X,YES
1,291U00000X,YES
1,292200000X,YES
1,293D00000X,YES
1,302F00000X,YES
1,302R00000X,YES
1,305R00000X,YES
1,305S00000X,YES
1,310400000X,NO
1,3104A0625X,NO
1,3104A0630X,NO
1,310500000X,YES
1,311500000X,YES
1,311Z00000X,NO
1,311ZA0620X,NO
1,313M00000X,YES
1,314000000X,YES
1,3140N1450X,YES
1,315D00000X,YES
1,315P00000X,YES
1,317400000X,YES
1,320600000X,YES
1,320700000X,YES
1,320800000X,YES
1,320900000X,YES
1,322D00000X,YES
1,323P00000X,YES
1,324500000X,YES
1,3245S0500X,YES
1,331L00000X,YES
1,332000000X,YES
1,332100000X,YES
1,332800000X,YES
1,332900000X,YES
1,332B00000X,YES
1,332BC3200X,YES
1,332BD1200X,YES
1,332BN1400X,YES
1,332BP3500X,YES
1,332BX2000X,YES
1,332G00000X,YES
1,332H00000X,YES
1,332S00000X,YES
1,332U00000X,NO
1,333300000X,NO
1,333600000X,YES
1,3336C0002X,YES
1,3336C0003X,YES
1,3336C0004X,YES
1,3336H0001X,YES
1,3336I0012X,YES
1,3336L0003X,YES
1,3336M0002X,YES
1,3336M0003X,YES
1,3336N0007X,YES
1,3336S0011X,YES
1,335E00000X,YES
1,335G00000X,YES
1,335U00000X,YES
1,335V00000X,YES
1,341600000X,YES
1,3416A0800X,YES
1,3416L0300X,YES
1,3416S0300X,YES
1,341800000X,YES
1,3418M1110X,YES
1,3418M1120X,YES
1,3418M1130X,YES
1,343800000X,YES
1,343900000X,NO
1,344600000X,NO
1,344800000X,NO
1,347B00000X,NO
1,347C00000X,NO
1,347D00000X,NO
1,347E00000X,NO
1,363A00000X,YES
1,363AM0700X,YES
1,363AS0400X,YES
1,363L00000X,YES
1,363LA2100X,YES
1,363LA2200X,YES
1,363LC0200X,YES
1,363LC1500X,YES
1,363LF0000X,YES
1,363LG0600X,YES
1,363LN0000X,YES
1,363LN0005X,YES
1,363LP0200X,YES
1,363LP0222X,YES
1,363LP0808X,YES
1,363LP1700X,YES
1,363LP2300X,YES
1,363LS0200X,YES
1,363LW0102X,YES
1,363LX0001X,YES
1,363LX0106X,YES
1,364S00000X,YES
1,364SA2100X,YES
1,364SA2200X,YES
1,364SC0200X,YES
1,364SC1501X,YES
1,364SC2300X,YES
1,364SE0003X,YES
1,364SE1400X,YES
1,364SF0001X,YES
1,364SG0600X,YES
1,364SH0200X,YES
1,364SH1100X,YES
1,364SI0800X,YES
1,364SL0600X,YES
1,364SM0705X,YES
1,364SN0000X,YES
1,364SN0800X,YES
1,364SP0200X,YES
1,364SP0807X,YES
1,364SP0808X,YES
1,364SP0809X,YES
1,364SP0810X,YES
1,364SP0811X,YES
1,364SP0812X,YES
1,364SP0813X,YES
1,364SP1700X,YES
1,364SP2800X,YES
1,364SR0400X,YES
1,364SS0200X,YES
1,364ST0500X,YES
1,364SW0102X,YES
1,364SX0106X,YES
1,364SX0200X,YES
1,364SX0204X,YES
1,367500000X,YES
1,367A00000X,YES
1,367H00000X,YES
1,372500000X,NO
1,372600000X,NO
1,373H00000X,NO
1,374700000X,YES
1,3747A0650X,NO
1,3747P1801X,NO
1,374J00000X,YES
1,374K00000X,YES
1,374T00000X,YES
1,374U00000X,NO
1,376G00000X,NO
1,376J00000X,NO
1,376K00000X,NO
1,385H00000X,NO
1,385HR2050X,NO
1,385HR2055X,NO
1,385HR2060X,NO
1,385HR2065X,NO
1,390200000X,YES
1,405300000X,NO
1,2084E0001X,YES
1,101200000X,YES
1,171400000X,YES
1,251S00000X,YES
1,322D00000X,YES
1,347E00000X,NO
1,342000000X,NO
2,01,YES
2,02,YES
2,03,YES
2,04,YES
2,05,YES
2,06,YES
2,07,YES
2,08,YES
2,09,YES
2,10,YES
2,11,YES
2,12,YES
2,13,YES
2,14,YES
2,15,YES
2,16,YES
2,17,YES
2,18,YES
2,19,YES
2,20,YES
2,21,YES
2,22,YES
2,23,YES
2,24,YES
2,25,YES
2,26,YES
2,27,YES
2,28,YES
2,29,YES
2,30,YES
2,31,YES
2,32,YES
2,33,YES
2,34,YES
2,35,YES
2,36,YES
2,37,YES
2,38,YES
2,39,YES
2,40,YES
2,41,YES
2,42,YES
2,43,YES
2,44,YES
2,45,YES
2,46,YES
2,47,YES
2,48,YES
2,49,YES
2,50,YES
2,51,YES
2,52,YES
2,53,YES
2,54,YES
2,55,YES
2,56,YES
2,57,YES
2,58,YES
2,59,YES
2,60,NO
2,61,YES
2,62,YES
2,63,YES
2,64,YES
2,65,YES
2,66,YES
2,67,YES
2,68,YES
2,69,YES
2,70,YES
2,71,YES
2,72,YES
2,73,YES
2,74,YES
2,75,YES
2,76,YES
2,77,YES
2,78,YES
2,79,YES
2,80,YES
2,81,YES
2,82,YES
2,83,YES
2,84,YES
2,85,YES
2,86,YES
2,87,YES
2,88,YES
2,89,YES
2,90,YES
2,91,YES
2,92,YES
2,93,YES
2,94,YES
2,95,YES
2,96,YES
2,97,YES
2,98,YES
2,99,YES
2,A0,YES
2,A1,YES
2,A2,YES
2,A3,YES
2,A4,YES
2,A5,YES
2,A6,YES
2,A7,NO
2,A8,NO
2,A9,YES
2,B1,YES
2,B2,YES
2,B3,YES
2,B4,YES
2,B5,YES
3,01,YES
3,02,YES
3,03,YES
3,04,YES
3,05,YES
3,06,YES
3,07,YES
3,08,YES
3,09,YES
3,10,YES
3,11,YES
3,12,YES
3,13,YES
3,14,YES
3,15,YES
3,16,YES
3,17,YES
3,18,YES
3,19,YES
3,20,YES
3,21,YES
3,22,YES
3,23,YES
3,24,NO
3,25,YES
3,26,YES
3,27,YES
3,28,YES
3,29,YES
3,30,YES
3,31,YES
3,32,YES
3,33,YES
3,34,YES
3,35,YES
3,36,YES
3,37,YES
3,38,YES
3,39,YES
3,40,YES
3,41,YES
3,42,YES
3,43,YES
3,44,YES
3,45,YES
3,46,YES
3,47,YES
3,48,YES
3,49,NO
3,50,NO
3,51,YES
3,52,YES
3,53,YES
3,54,YES
3,55,YES
3,56,YES
3,57,YES
4,001,YES
4,002,YES
4,003,YES
4,004,YES
4,005,YES
4,006,YES
4,007,YES
4,008,YES
4,009,YES
4,010,YES
4,011,YES
4,012,YES
4,013,YES
4,014,YES
4,015,YES
4,016,YES
4,017,NO
4,018,YES
4,019,YES
4,020,YES
4,021,YES
4,022,YES
4,023,YES
4,024,YES
4,025,YES
4,026,YES
4,027,YES
4,028,YES
4,029,YES
4,030,YES
4,031,YES
4,032,YES
4,033,YES
4,034,YES
4,035,YES
4,036,YES
4,037,YES
4,038,YES
4,039,YES
4,040,YES
4,041,YES
4,042,YES
4,043,YES
4,044,YES
4,045,YES
4,046,YES
4,047,YES
4,048,YES
4,049,YES
4,050,YES
4,051,NO
4,052,YES
4,053,YES
4,054,YES
4,055,NO
4,056,NO
4,057,NO
4,058,YES
4,059,YES
4,060,YES
4,061,YES
4,062,YES
4,063,NO
4,064,NO
4,065,NO
4,066,NO
4,067,NO
4,068,NO
4,069,YES
4,070,NO
4,071,NO
4,072,NO
4,073,NO
4,074,NO
4,075,NO
4,076,NO
4,077,YES
4,078,NO
4,079,NO
4,080,NO
4,081,NO
4,082,NO
4,083,NO
4,084,YES
4,085,YES
4,086,YES
4,087,YES
4,088,YES
4,115,NO
